Algorithm,Heuristic,CPUTime,Initial State,Goal State,Optimal sol cost,Level 0 nodes Generated,Level 0 nodes Expanded,Level 0 nodes Evaluated,Level 1 nodes Generated,Level 1 nodes Expanded,Level 1 nodes Evaluated,Level 2 nodes Generated,Level 2 nodes Expanded,Level 2 nodes Evaluated,Level 3 nodes Generated,Level 3 nodes Expanded,Level 3 nodes Evaluated,Level 4 nodes Generated,Level 4 nodes Expanded,Level 4 nodes Evaluated,Level 5 nodes Generated,Level 5 nodes Expanded,Level 5 nodes Evaluated,Level 6 nodes Generated,Level 6 nodes Expanded,Level 6 nodes Evaluated,Level 7 nodes Generated,Level 7 nodes Expanded,Level 7 nodes Evaluated,Level 8 nodes Generated,Level 8 nodes Expanded,Level 8 nodes Evaluated,Level 9 nodes Generated,Level 9 nodes Expanded,Level 9 nodes Evaluated,Level 10 nodes Generated,Level 10 nodes Expanded,Level 10 nodes Evaluated,Total nodes Generated,Total nodes Expanded,Total nodes Evaluated
A#,Misplaced,370.0microseconds,240183765,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,29,10,30,40,13,41,99,36,100,104,38,105,107,39,108,111,40,112,114,40,114,114,40,114
A*,Man,412.0microseconds,236108457,123456780,10,0,0,0,4,1,5,7,2,8,12,4,13,17,6,18,22,8,23,27,10,28,32,12,33,37,14,38,39,15,40,42,16,43,42,16,43
A*,Man-1,442.0microseconds,236108457,123456780,10,0,0,0,4,1,5,7,2,8,12,4,13,17,6,18,22,8,23,27,10,28,32,12,33,37,14,38,39,15,40,42,16,43,42,16,43
A*,Misplaced,936.0microseconds,236108457,123456780,10,0,0,0,4,1,5,7,2,8,9,3,10,79,29,80,85,32,86,91,34,92,102,38,103,109,41,110,111,42,112,114,43,115,114,43,115
A#,Man,256.0microseconds,236108457,123456780,10,0,0,0,4,1,5,7,2,8,12,4,13,17,6,18,22,8,23,27,10,28,32,12,33,37,14,38,39,15,40,42,15,42,42,15,42
A#,Man-1,205.0microseconds,236108457,123456780,10,0,0,0,4,1,5,7,2,8,12,4,13,17,6,18,22,8,23,27,10,28,32,12,33,37,14,38,39,15,40,42,15,42,42,15,42
A#,Misplaced,314.0microseconds,236108457,123456780,10,0,0,0,4,1,5,7,2,8,9,3,10,79,29,80,85,32,86,91,34,92,102,38,103,109,41,110,111,42,112,114,42,114,114,42,114
A*,Man,363.0microseconds,416302758,123456780,10,0,0,0,4,1,5,17,6,18,19,7,20,22,8,23,26,9,27,32,11,33,36,13,37,39,14,40,43,15,44,46,16,47,46,16,47
A*,Man-1,410.0microseconds,416302758,123456780,10,0,0,0,4,1,5,17,6,18,19,7,20,22,8,23,26,9,27,32,11,33,36,13,37,39,14,40,43,15,44,46,16,47,46,16,47
A*,Misplaced,6421.0microseconds,416302758,123456780,10,0,0,0,4,1,5,21,7,22,25,9,26,30,11,31,45,17,46,81,31,82,89,34,90,98,38,99,105,40,106,115,43,116,115,43,116
A#,Man,236.0microseconds,416302758,123456780,10,0,0,0,4,1,5,17,6,18,19,7,20,22,8,23,26,9,27,32,11,33,36,13,37,39,14,40,43,15,44,46,15,46,46,15,46
A#,Man-1,414.0microseconds,416302758,123456780,10,0,0,0,4,1,5,17,6,18,19,7,20,22,8,23,26,9,27,32,11,33,36,13,37,39,14,40,43,15,44,46,15,46,46,15,46
A#,Misplaced,427.0microseconds,416302758,123456780,10,0,0,0,4,1,5,21,7,22,25,9,26,30,11,31,45,17,46,81,31,82,89,34,90,98,38,99,105,40,106,115,42,115,115,42,115
A*,Man,307.0microseconds,043716528,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,14,5,15,19,7,20,21,8,22,24,9,25,28,10,29,31,11,32,31,11,32
A*,Man-1,412.0microseconds,043716528,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,14,5,15,19,7,20,21,8,22,24,9,25,28,10,29,31,11,32,31,11,32
A*,Misplaced,615.0microseconds,043716528,123456780,10,0,0,0,2,1,3,8,3,9,18,6,19,36,13,37,59,22,60,65,24,66,69,26,70,75,28,76,82,30,83,87,32,88,87,32,88
A#,Man,310.0microseconds,043716528,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,14,5,15,19,7,20,21,8,22,24,9,25,28,10,29,31,10,31,31,10,31
A#,Man-1,189.0microseconds,043716528,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,14,5,15,19,7,20,21,8,22,24,9,25,28,10,29,31,10,31,31,10,31
A#,Misplaced,254.0microseconds,043716528,123456780,10,0,0,0,2,1,3,8,3,9,18,6,19,36,13,37,59,22,60,65,24,66,69,26,70,75,28,76,82,30,83,87,31,87,87,31,87
A*,Man,316.0microseconds,012763548,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,11,32,31,11,32
A*,Man-1,252.0microseconds,012763548,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,11,32,31,11,32
A*,Misplaced,447.0microseconds,012763548,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,16,6,17,26,9,27,43,15,44,49,17,50,57,20,58,62,22,63,62,22,63
A#,Man,172.0microseconds,012763548,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,10,31,31,10,31
A#,Man-1,172.0microseconds,012763548,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,10,31,31,10,31
A#,Misplaced,247.0microseconds,012763548,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,16,6,17,26,9,27,43,15,44,49,17,50,57,20,58,62,21,62,62,21,62
A*,Man,480.0microseconds,415302786,123456780,10,0,0,0,4,1,5,7,2,8,12,4,13,17,6,18,21,8,22,28,10,29,39,14,40,44,16,45,49,18,50,56,20,57,56,20,57
A*,Man-1,626.0microseconds,415302786,123456780,10,0,0,0,4,1,5,7,2,8,12,4,13,17,6,18,21,8,22,28,10,29,39,14,40,44,16,45,49,18,50,56,20,57,56,20,57
A*,Misplaced,7585.0microseconds,415302786,123456780,10,0,0,0,4,1,5,15,5,16,17,6,18,20,7,21,27,10,28,50,19,51,79,29,80,102,37,103,107,39,108,112,41,113,112,41,113
A#,Man,226.0microseconds,415302786,123456780,10,0,0,0,4,1,5,7,2,8,12,4,13,17,6,18,21,8,22,28,10,29,39,14,40,44,16,45,49,18,50,56,19,56,56,19,56
A#,Man-1,262.0microseconds,415302786,123456780,10,0,0,0,4,1,5,7,2,8,12,4,13,17,6,18,21,8,22,28,10,29,39,14,40,44,16,45,49,18,50,56,19,56,56,19,56
A#,Misplaced,331.0microseconds,415302786,123456780,10,0,0,0,4,1,5,15,5,16,17,6,18,20,7,21,27,10,28,50,19,51,79,29,80,102,37,103,107,39,108,112,40,112,112,40,112
A*,Man,354.0microseconds,253108467,123456780,10,0,0,0,4,1,5,13,4,14,17,6,18,23,8,24,29,10,30,32,11,33,34,12,35,37,13,38,39,14,40,42,15,43,42,15,43
A*,Man-1,396.0microseconds,253108467,123456780,10,0,0,0,4,1,5,13,4,14,17,6,18,23,8,24,29,10,30,32,11,33,34,12,35,37,13,38,39,14,40,42,15,43,42,15,43
A*,Misplaced,846.0microseconds,253108467,123456780,10,0,0,0,4,1,5,17,6,18,22,8,23,63,24,64,74,27,75,82,30,83,86,32,87,98,36,99,104,39,105,115,42,116,115,42,116
A#,Man,221.0microseconds,253108467,123456780,10,0,0,0,4,1,5,13,4,14,17,6,18,23,8,24,29,10,30,32,11,33,34,12,35,37,13,38,39,14,40,42,14,42,42,14,42
A#,Man-1,253.0microseconds,253108467,123456780,10,0,0,0,4,1,5,13,4,14,17,6,18,23,8,24,29,10,30,32,11,33,34,12,35,37,13,38,39,14,40,42,14,42,42,14,42
A#,Misplaced,1439.0microseconds,253108467,123456780,10,0,0,0,4,1,5,17,6,18,22,8,23,63,24,64,74,27,75,82,30,83,86,32,87,98,36,99,104,39,105,115,41,115,115,41,115
A*,Man,297.0microseconds,360142758,123456780,10,0,0,0,2,1,3,8,3,9,10,4,11,13,5,14,17,6,18,23,8,24,27,10,28,30,11,31,34,12,35,37,13,38,37,13,38
A*,Man-1,323.0microseconds,360142758,123456780,10,0,0,0,2,1,3,8,3,9,10,4,11,13,5,14,17,6,18,23,8,24,27,10,28,30,11,31,34,12,35,37,13,38,37,13,38
A*,Misplaced,1718.0microseconds,360142758,123456780,10,0,0,0,2,1,3,8,3,9,12,5,13,19,7,20,28,10,29,59,21,60,67,24,68,72,26,73,79,28,80,84,30,85,84,30,85
A#,Man,263.0microseconds,360142758,123456780,10,0,0,0,2,1,3,8,3,9,10,4,11,13,5,14,17,6,18,23,8,24,27,10,28,30,11,31,34,12,35,37,12,37,37,12,37
A#,Man-1,205.0microseconds,360142758,123456780,10,0,0,0,2,1,3,8,3,9,10,4,11,13,5,14,17,6,18,23,8,24,27,10,28,30,11,31,34,12,35,37,12,37,37,12,37
A#,Misplaced,273.0microseconds,360142758,123456780,10,0,0,0,2,1,3,8,3,9,12,5,13,19,7,20,28,10,29,59,21,60,67,24,68,72,26,73,79,28,80,84,29,84,84,29,84
A*,Man,434.0microseconds,013724586,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,14,5,15,20,7,21,27,10,28,34,13,35,41,15,42,48,18,49,51,19,52
A*,Man-1,448.0microseconds,013724586,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,14,5,15,20,7,21,27,10,28,34,13,35,41,15,42,48,18,49,51,19,52
A*,Misplaced,2757.0microseconds,013724586,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,15,5,16,17,6,18,46,17,47,89,34,90,94,36,95,106,39,107,109,40,110,109,40,110
A#,Man,179.0microseconds,013724586,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,14,5,15,20,7,21,27,10,28,34,13,35,41,15,42,48,17,48,48,17,48
A#,Man-1,225.0microseconds,013724586,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,14,5,15,20,7,21,27,10,28,34,13,35,41,15,42,51,18,51,51,18,51
A#,Misplaced,331.0microseconds,013724586,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,15,5,16,17,6,18,46,17,47,89,34,90,94,36,95,106,39,107,109,39,109,109,39,109
A*,Man,331.0microseconds,082143765,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,17,6,18,22,8,23,24,9,25,27,10,28,31,11,32,34,12,35,34,12,35
A*,Man-1,337.0microseconds,082143765,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,17,6,18,22,8,23,24,9,25,27,10,28,31,11,32,34,12,35,34,12,35
A*,Misplaced,805.0microseconds,082143765,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,28,10,29,32,12,33,37,14,38,39,15,40,79,29,80,86,31,87,99,36,100,99,36,100
A#,Man,200.0microseconds,082143765,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,17,6,18,22,8,23,24,9,25,27,10,28,31,11,32,34,11,34,34,11,34
A#,Man-1,199.0microseconds,082143765,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,17,6,18,22,8,23,24,9,25,27,10,28,31,11,32,34,11,34,34,11,34
A#,Misplaced,321.0microseconds,082143765,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,28,10,29,32,12,33,37,14,38,39,15,40,79,29,80,86,31,87,99,35,99,99,35,99
A*,Man,297.0microseconds,283175460,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,17,6,18,22,8,23,24,9,25,27,10,28,31,11,32,34,12,35,34,12,35
A*,Man-1,313.0microseconds,283175460,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,17,6,18,22,8,23,24,9,25,27,10,28,31,11,32,34,12,35,34,12,35
A*,Misplaced,2792.0microseconds,283175460,123456780,10,0,0,0,2,1,3,8,3,9,18,6,19,50,18,51,59,22,60,64,24,65,69,26,70,74,28,75,78,29,79,83,31,84,83,31,84
A#,Man,186.0microseconds,283175460,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,17,6,18,22,8,23,24,9,25,27,10,28,31,11,32,34,11,34,34,11,34
A#,Man-1,214.0microseconds,283175460,123456780,10,0,0,0,2,1,3,5,2,6,9,3,10,12,4,13,17,6,18,22,8,23,24,9,25,27,10,28,31,11,32,34,11,34,34,11,34
A#,Misplaced,351.0microseconds,283175460,123456780,10,0,0,0,2,1,3,8,3,9,18,6,19,50,18,51,59,22,60,64,24,65,69,26,70,74,28,75,78,29,79,83,30,83,83,30,83
A*,Man,442.0microseconds,135742860,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,11,32,31,11,32
A*,Man-1,481.0microseconds,135742860,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,11,32,31,11,32
A*,Misplaced,2223.0microseconds,135742860,123456780,10,0,0,0,2,1,3,8,3,9,10,4,11,13,5,14,17,6,18,22,8,23,47,17,48,54,19,55,64,22,65,72,25,73,72,25,73
A#,Man,417.0microseconds,135742860,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,10,31,31,10,31
A#,Man-1,183.0microseconds,135742860,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,10,31,31,10,31
A#,Misplaced,538.0microseconds,135742860,123456780,10,0,0,0,2,1,3,8,3,9,10,4,11,13,5,14,17,6,18,22,8,23,47,17,48,54,19,55,64,22,65,72,24,72,72,24,72
A*,Man,475.0microseconds,713206548,123456780,10,0,0,0,4,1,5,10,3,11,16,6,17,21,8,22,28,10,29,33,12,34,35,13,36,40,15,41,44,16,45,47,17,48,47,17,48
A*,Man-1,427.0microseconds,713206548,123456780,10,0,0,0,4,1,5,10,3,11,16,6,17,21,8,22,28,10,29,33,12,34,35,13,36,40,15,41,44,16,45,47,17,48,47,17,48
A*,Misplaced,2671.0microseconds,713206548,123456780,10,0,0,0,4,1,5,15,5,16,28,11,29,31,12,32,35,13,36,47,17,48,111,41,112,114,42,115,118,43,119,121,44,122,121,44,122
A#,Man,203.0microseconds,713206548,123456780,10,0,0,0,4,1,5,10,3,11,16,6,17,21,8,22,28,10,29,33,12,34,35,13,36,40,15,41,44,16,45,47,16,47,47,16,47
A#,Man-1,241.0microseconds,713206548,123456780,10,0,0,0,4,1,5,10,3,11,16,6,17,21,8,22,28,10,29,33,12,34,35,13,36,40,15,41,44,16,45,47,16,47,47,16,47
A#,Misplaced,452.0microseconds,713206548,123456780,10,0,0,0,4,1,5,15,5,16,28,11,29,31,12,32,35,13,36,47,17,48,111,41,112,114,42,115,118,43,119,121,43,121,121,43,121
A*,Man,261.0microseconds,035182476,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,11,32,31,11,32
A*,Man-1,267.0microseconds,035182476,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,11,32,31,11,32
A*,Misplaced,521.0microseconds,035182476,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,19,7,20,57,21,58,63,23,64,67,24,68,70,25,71,70,25,71
A#,Man,158.0microseconds,035182476,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,10,31,31,10,31
A#,Man-1,146.0microseconds,035182476,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,17,6,18,19,7,20,24,9,25,28,10,29,31,10,31,31,10,31
A#,Misplaced,251.0microseconds,035182476,123456780,10,0,0,0,2,1,3,5,2,6,7,3,8,10,4,11,14,5,15,19,7,20,57,21,58,63,23,64,67,24,68,70,24,70,70,24,70
